"","Set","Proximity","Method","TotalCaptures","UniqueCaptures","ValidCaptures","ValidUniqCapts","InvalidUniqCapts","ValidALLCapsProp","ValidUniqCaptsProp","NDC_DRUG_CT_all","NDC_DRUG_PROP_all","NDC_DRUG_CT_compset","NDC_DRUG_PROP_compset","NDC_LISTING_CT_all","NDC_LISTING_PROP_all","NDC_LISTING_CT_compset","NDC_LISTING_PROP_compset"
"1","All words","None","None",73993508,79272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Non-English","Method 1","Method 1",852832,34590,396808,6590,28000,0.465282728603054,0.190517490604221,5996,0.0863056683075683,5996,0.895593726661688,13623,0.0782976033105351,13623,0.915216661068189
"3","Brand","Method 3","Method 3",55671,3653,15800,993,2660,0.283810242316466,0.2718313714755,1366,0.0276389535236631,1366,0.35351966873706,2552,0.0230084027552382,2552,0.31463444704722
"4","Launch - 20","Proximity - 20","Method 2A",28399,3521,17936,1611,1910,0.631571534208951,0.457540471456972,3918,0.0695988915337336,3918,0.747139588100686,9049,0.0642835323619882,9049,0.777605912176678
"5","Launch - 5","Proximity - 5","Method 2B",11152,1721,7613,927,794,0.682657819225251,0.538640325392214,2937,0.0555807880095379,2937,0.629447063866267,6891,0.0529514822726644,6891,0.666183294663573
"6","New Product - 20","Proximity - 20","Method 2A",2726,907,1421,464,443,0.521276595744681,0.511576626240353,1850,0.0367136336574717,1850,0.44439106413644,4628,0.0385005740146083,4628,0.498653162374744
"7","New Product - 5","Proximity - 5","Method 2B",590,253,329,137,116,0.557627118644068,0.541501976284585,290,0.00632083696599826,290,0.0794520547945206,658,0.00621200105736188,658,0.0836192654721057
"8","New Drug - 20","Proximity - 20","Method 2A",7473,1291,4625,645,646,0.618894687541817,0.499612703330751,2261,0.0425752269046812,2261,0.509923319801534,5351,0.0423734182227079,5351,0.54253269796208
"9","New Drug - 5","Proximity - 5","Method 2B",1603,402,933,239,163,0.58203368683718,0.59452736318408,1366,0.0288301217787721,1366,0.343647798742138,3377,0.0293470987477297,3377,0.382186509732911
